Question ID,Paper,Primary Topic,Subtopic,Question,Answer A,Answer B,Answer C,Answer D,Answer E,Correct Answer,Explanation,Authority,Source Type,Source Set,Review Status,Difficulty,Active
ONE-FLK1-001,FLK1,Business Law and Practice,Directors' duties,"A director of a private company signs a supply contract personally guaranteeing the company's debt, without disclosing that the supplier is owned by his spouse. Which duty is most directly engaged?",Duty to act within powers,Duty to promote the success of the company,Duty to declare an interest in a proposed transaction,Duty to exercise independent judgement,"Duty to exercise reasonable care, skill and diligence",C,Section 177 CA 2006 requires a director to declare the nature and extent of any interest in a proposed transaction with the company before it is entered into.,"Companies Act 2006, s.177",Original Practice,One Per Topic v1,Draft,medium,true
ONE-FLK1-002,FLK1,Dispute Resolution,Limitation,A claimant wishes to bring a claim in the tort of negligence for personal injury. From which date does the primary limitation period of three years normally run?,The date the defendant's breach occurred,The date the claim form is issued,"The date of the claimant's knowledge, or the date the cause of action accrued, whichever is later",The date the letter of claim is sent,The date judgment is entered,C,For personal injury claims the limitation period is three years from the later of the date on which the cause of action accrued or the claimant's date of knowledge.,"Limitation Act 1980, s.11",Original Practice,One Per Topic v1,Draft,medium,true
ONE-FLK1-003,FLK1,Contract Law,Remedies,A buyer contracts to purchase a rare painting. The seller refuses to complete despite payment being tendered. Damages would be inadequate because the painting is unique. What remedy is the buyer most likely to seek?,Rescission,Specific performance,Liquidated damages,An account of profits,Rectification,B,"Specific performance is an equitable remedy available where damages are inadequate, typically for contracts concerning unique goods such as a rare painting.",Falcke v Gray (1859),Original Practice,One Per Topic v1,Draft,medium,true
ONE-FLK1-004,FLK1,Tort,Negligence - duty of care,"A manufacturer sells a sealed opaque bottle of ginger beer containing a decomposed snail. The consumer, who did not buy it, becomes ill. On what basis can the consumer claim against the manufacturer?",Breach of an express contractual term,A duty of care owed by the manufacturer to the ultimate consumer,Strict liability under statute for defective products only,Breach of trust,Vicarious liability of the retailer,B,A manufacturer owes a duty of care to the ultimate consumer where goods reach them in the form they left the manufacturer with no reasonable possibility of intermediate examination.,Donoghue v Stevenson [1932] AC 562,Original Practice,One Per Topic v1,Draft,medium,true
ONE-FLK1-005,FLK1,The Legal System of England and Wales,Sources of law,A later decision of the Supreme Court conflicts with one of its own earlier decisions. What is the position under the doctrine of precedent?,The Supreme Court is always bound by its own previous decisions,The Supreme Court may depart from its own previous decisions when it appears right to do so,Only Parliament can overturn a Supreme Court decision,The Court of Appeal decides which decision prevails,The earlier decision automatically prevails,B,Since the 1966 Practice Statement (now applied by the Supreme Court) the court may depart from its own previous decisions when it appears right to do so.,Practice Statement (Judicial Precedent) [1966] 1 WLR 1234,Original Practice,One Per Topic v1,Draft,medium,true
ONE-FLK1-006,FLK1,Legal Services,Regulation and professional conduct,A solicitor realises that continuing to act for two existing clients in the same matter now involves a conflict of interest with no available exception. What must the solicitor do?,Continue acting for both and disclose the conflict at the end,Cease to act for one or both clients as required to avoid the conflict,Act only for the wealthier client,Refer the matter to the Legal Ombudsman before doing anything,Continue acting provided both clients pay separately,B,"Where an own-client conflict exists and no exception applies, a solicitor must not act, and must cease acting for one or both clients as necessary.","SRA Code of Conduct, para 6.2",Original Practice,One Per Topic v1,Draft,medium,true
ONE-FLK2-007,FLK2,Property Law and Practice,Conveyancing process,"In a standard residential conveyancing transaction using the Standard Conditions of Sale, at which point does the risk in the property normally pass to the buyer?",On exchange of contracts,On completion,When the mortgage offer is issued,When searches are returned,When the buyer's survey is completed,A,"Under the Standard Conditions of Sale the risk passes to the buyer on exchange of contracts, which is why buyers are advised to insure from exchange.","Standard Conditions of Sale, condition 5.1",Original Practice,One Per Topic v1,Draft,medium,true
ONE-FLK2-008,FLK2,Land Law,Easements,"A landowner sells part of their land. The part sold has only ever reached the public highway by crossing the retained land, and there is no express grant. What is most likely to arise?",A restrictive covenant,An easement of necessity implied into the grant,A profit à prendre,A licence revocable at will,Adverse possession of the retained land,B,"Where land sold would otherwise be landlocked, an easement of necessity may be implied into the grant to provide access.",Nickerson v Barraclough [1981] Ch 426,Original Practice,One Per Topic v1,Draft,medium,true
ONE-FLK2-009,FLK2,Wills and the Administration of Estates,Formal validity of wills,"A testator signs their will in the presence of two witnesses, both of whom are present at the same time and then sign in the testator's presence. One witness is a beneficiary under the will. What is the effect?",The entire will is invalid,The will is valid but the gift to the witnessing beneficiary fails,The will is valid and the gift takes effect in full,The will must be re-executed within 28 days,Only the residuary gift fails,B,"The will is validly executed, but under s.15 Wills Act 1837 a gift to an attesting witness (or their spouse) is void, though the witness remains competent.","Wills Act 1837, s.15",Original Practice,One Per Topic v1,Draft,medium,true
ONE-FLK2-010,FLK2,Trusts Law,The three certainties,A settlor declares a trust 'of the bulk of my estate' for named beneficiaries. Which certainty is most obviously lacking?,Certainty of intention,Certainty of subject matter,Certainty of objects,Certainty of capacity,Certainty of form,B,"'The bulk of my estate' does not identify the trust property with sufficient certainty, so certainty of subject matter fails.",Palmer v Simmonds (1854),Original Practice,One Per Topic v1,Draft,medium,true
ONE-FLK2-011,FLK2,Criminal Liability,Mens rea,"A defendant throws a heavy object into a crowded street, not intending to hit anyone but aware there is a real risk it will strike someone, which it does, causing injury. Which mens rea is established?",Direct intention only,Subjective (Cunningham) recklessness,Objective negligence only,Strict liability,"No mens rea, as harm was not intended",B,Foreseeing a risk of harm and going on to take it unjustifiably is subjective recklessness as defined in R v Cunningham.,R v Cunningham [1957] 2 QB 396,Original Practice,One Per Topic v1,Draft,medium,true
ONE-FLK2-012,FLK2,Criminal Law and Practice,Bail,A defendant charged with an indictable offence applies for bail. The court finds substantial grounds to believe the defendant would fail to surrender. What is the court most likely to do?,Grant unconditional bail,"Refuse bail, as an exception to the right to bail applies",Adjourn the case for six months,Grant bail but impose an absolute discharge,Automatically commit the case to the Crown Court for sentence,B,"The right to bail does not apply where there are substantial grounds for believing the defendant would fail to surrender, so bail may be refused.","Bail Act 1976, Sch 1",Original Practice,One Per Topic v1,Draft,medium,true
