Question ID,Paper,Primary Topic,Subtopic,Question,Answer A,Answer B,Answer C,Answer D,Answer E,Correct Answer,Explanation,Authority,Source Type,Source Set,Review Status,Difficulty,Active
DEMO-FLK1-001,FLK1,Contract Law,Formation,"A seller posts a signed acceptance of a buyer's written offer to buy goods. The letter is correctly addressed and stamped but is lost in the post and never arrives. Assuming the postal rule applies and has not been excluded, when is the contract formed?","When the buyer actually receives the acceptance, so no contract is ever formed",When the seller posts the letter of acceptance,When the buyer becomes aware that the seller intended to accept,Only if and when a replacement acceptance is communicated,When a reasonable time for delivery has elapsed,B,"Under the postal rule, acceptance takes effect when the letter is properly posted, even if it is delayed or lost, provided the rule has not been excluded and posting was a reasonable means of acceptance.",Adams v Lindsell (1818); Household Fire Insurance v Grant (1879),Original Practice,Concept Demo v1,Draft,medium,true
DEMO-FLK1-002,FLK1,Contract Law,Consideration,"After a decorator finishes painting a house, the homeowner promises to pay an extra 200 pounds 'for the excellent work done'. The decorator seeks to enforce that promise. Which statement best explains the position?",The promise is enforceable because the completed work is good consideration,The promise is unenforceable because the consideration is past,The promise is enforceable because of promissory estoppel,The promise is unenforceable for lack of intention to create legal relations,The promise is enforceable because the sum is certain,B,"Consideration must not be past. Work completed before a later promise cannot generally constitute consideration for that promise, so the promise is unenforceable unless an exception applies.",Re McArdle [1951]; Roscorla v Thomas (1842),Original Practice,Concept Demo v1,Draft,medium,true
DEMO-FLK1-003,FLK1,Tort,Duty of care,A claimant wishes to establish that a defendant owed her a novel duty of care in the tort of negligence. Which approach will the court apply to decide whether such a duty exists?,Whether the defendant assumed unlimited responsibility for the claimant,"Whether harm was foreseeable, there was proximity, and it is fair, just and reasonable to impose a duty",Whether the defendant's conduct fell below the standard of the reasonable person,Whether the claimant's loss was too remote a consequence of the breach,Whether there was a break in the chain of causation,B,"For novel duty situations the court applies the threefold test: reasonable foreseeability of harm, proximity, and whether it is fair, just and reasonable to impose a duty. The other options concern breach, remoteness or causation.",Caparo Industries plc v Dickman [1990],Original Practice,Concept Demo v1,Draft,medium,true
DEMO-FLK1-004,FLK1,Tort,Occupiers' liability,A trespasser is injured by a danger on the defendant's land of which the occupier is aware. Under which statute might the occupier owe a duty in respect of the trespasser's personal injury?,Occupiers' Liability Act 1957,Occupiers' Liability Act 1984,Defective Premises Act 1972,Consumer Protection Act 1987,No duty can ever be owed to a trespasser,B,"Duties owed to non-visitors, including trespassers, in respect of personal injury are governed by the Occupiers' Liability Act 1984, subject to the conditions in s1(3). The 1957 Act applies to lawful visitors.","Occupiers' Liability Act 1984, s1",Original Practice,Concept Demo v1,Draft,easy,true
DEMO-FLK1-005,FLK1,Business Law and Practice,Directors,The members of a private company limited by shares wish to remove a director from office before the end of his term. Which of the following is required?,A board resolution passed by a simple majority of directors,"An ordinary resolution of the shareholders, with special notice",A special resolution of the shareholders,Unanimous consent of all shareholders,A written resolution passed by 75% of the voting rights,B,"A director may be removed by ordinary resolution of the members, but special notice of 28 days is required and the removal cannot be effected by written resolution.","Companies Act 2006, ss168-169",Original Practice,Concept Demo v1,Draft,hard,true
DEMO-FLK1-006,FLK1,Business Law and Practice,Partnership,"A person joins an existing general partnership. In relation to debts the partnership incurred before he joined, what is his liability under the Partnership Act 1890?",He is automatically liable for all pre-existing debts,"He is not liable for debts incurred before he became a partner, unless he agrees otherwise",He is liable only for one half of the pre-existing debts,He is liable only if the existing creditors consent,He is liable only once the partnership is dissolved,B,"An incoming partner is not liable to creditors for anything done before he became a partner, absent a novation or agreement to the contrary.","Partnership Act 1890, s17",Original Practice,Concept Demo v1,Draft,medium,true
DEMO-FLK1-007,FLK1,Dispute Resolution,Limitation,"A claimant wishes to bring a claim for breach of a simple contract. What is the primary limitation period, and from when does it run?",Six years from the date the cause of action accrued,Three years from the claimant's date of knowledge,Twelve years from the date of breach,Six years from the date the claim form is issued,Fifteen years from the date the contract was made,A,"An action founded on a simple contract must be brought within six years of the date the cause of action accrued, generally the date of breach. Twelve years applies to a contract made by deed.","Limitation Act 1980, s5",Original Practice,Concept Demo v1,Draft,easy,true
DEMO-FLK1-008,FLK1,Dispute Resolution,Track allocation,"A straightforward money claim has a value of 45,000 pounds and is of modest complexity. To which track is the claim most likely to be allocated?",Small claims track,Fast track,Intermediate track,Multi-track,Part 8 track,C,"Claims valued between 25,000 and 100,000 pounds that are of modest complexity are normally allocated to the intermediate track. The fast track generally covers claims up to 25,000 pounds and the multi-track higher-value or complex claims.",CPR Part 26,Original Practice,Concept Demo v1,Draft,hard,true
DEMO-FLK1-009,FLK1,The Legal System of England and Wales,Precedent,A decision of the Court of Appeal (Civil Division) on a point of law is later doubted by a High Court judge hearing a first-instance claim. What must the High Court judge do?,"Follow the Court of Appeal decision, as it is binding",Refuse to follow it because it is merely persuasive,Refer the matter directly to the Supreme Court,Follow it only if the Court of Appeal was unanimous,Depart from it if the judge considers it wrongly decided,A,"Under the doctrine of binding precedent the High Court is bound by decisions of the Court of Appeal and must follow them, even if the judge doubts the reasoning.",Doctrine of stare decisis,Original Practice,Concept Demo v1,Draft,easy,true
DEMO-FLK1-010,FLK1,Legal Services,Reserved activities,Which of the following is a reserved legal activity that may only be carried on by an authorised or exempt person under the Legal Services Act 2007?,Giving general legal advice on a contract,The conduct of litigation,Drafting a will,Providing general employment law guidance,Negotiating a commercial lease,B,"The conduct of litigation is a reserved legal activity. General legal advice and will-drafting are not, in themselves, reserved activities.","Legal Services Act 2007, s12 and Sch 2",Original Practice,Concept Demo v1,Draft,medium,true
